COUNTY_NAME,CNA_contract_hours_sum,CNA_contract_hours_mean,CNA_contract_hours_min,CNA_contract_hours_max,PROVNUM_nunique
Queens,324330.09,91.33486060264715,0.25,666.25,45
Bronx,310866.55,95.88727637260949,0.95,474.75,40
Kings,273339.9,85.63280075187971,0.75,483.7,38
Nassau,135224.23,73.01524298056157,0.25,270.25,25
New York,126746.99,104.57672442244225,0.35,694.3,15
Suffolk,111150.09,55.29855223880597,0.25,200.82,27
Westchester,109617.03,61.23856424581005,0.25,313.0,27
Richmond,56137.7,89.96426282051281,4.25,223.28,8
Broome,45022.86,107.7101913875598,1.5,479.75,8
Oneida,35178.36,65.1451111111111,1.0,268.35,8
Albany,30188.33,35.225589264877485,0.25,211.0,11
Erie,28820.64,40.93840909090909,0.08,215.25,9
Genesee,25465.86,93.62448529411765,8.5,231.75,3
Onondaga,21459.65,54.191035353535355,4.0,213.75,7
Dutchess,20781.91,56.781174863387974,2.0,156.25,5
Monroe,19768.56,36.074014598540145,1.0,134.5,9
Sullivan,18256.56,114.10350000000001,6.35,258.42,2
Rockland,15046.5,39.70052770448549,0.5,196.25,5
Putnam,14226.75,78.16895604395604,15.25,197.5,2
Greene,14182.0,77.92307692307692,7.25,199.25,2
Ulster,12381.83,30.12610705596107,0.25,114.25,6
Rensselaer,11439.99,44.86270588235294,0.8,234.5,6
Franklin,10457.25,67.46612903225807,4.5,127.75,2
Oswego,10443.33,31.742644376899698,0.5,112.75,4
Chemung,10304.5,60.97337278106509,6.5,161.79,2
Orange,10044.44,25.42896202531646,0.5,95.75,5
Cayuga,9568.08,81.08542372881355,6.52,190.25,2
Cattaraugus,8897.93,48.88972527472528,8.0,146.0,2
Niagara,8842.4,48.853038674033144,7.5,110.5,2
Saratoga,8175.85,44.92225274725275,7.5,88.5,2
Schenectady,7612.0,24.475884244372992,0.25,104.75,5
Washington,7467.55,26.201929824561404,0.75,85.0,4
Ontario,7131.11,70.60504950495049,2.0,133.17,3
Otsego,6954.96,38.214065934065935,6.5,88.25,2
Allegany,6898.5599999999995,35.93,1.5,84.65,3
Montgomery,6543.09,27.262875,1.75,93.75,3
Wayne,6518.66,35.816813186813185,8.0,88.76,2
Fulton,6267.1,59.68666666666667,1.13,104.0,2
Orleans,5703.35,62.674175824175826,15.0,121.83,1
Warren,5334.43,30.83485549132948,6.5,75.0,2
Columbia,4633.83,30.286470588235293,4.75,83.25,2
Steuben,3680.63,20.334972375690608,1.75,54.5,3
St. Lawrence,3583.5,59.725,18.0,117.0,1
Chenango,3014.55,18.27,2.27,55.5,2
Tompkins,2161.0,15.111888111888112,3.0,40.0,2
Madison,1767.0,20.788235294117648,5.75,57.5,1
Chautauqua,1127.3,9.718103448275862,0.1,26.3,3
Lewis,712.0,11.866666666666667,1.5,23.0,1
Wyoming,622.8,13.251063829787233,4.0,24.0,1
Yates,473.25,8.021186440677965,6.75,9.0,1
Livingston,332.2,47.457142857142856,7.7,77.0,1
